Indicator,Subtype,Coefficient,P-value
Average evening sound level of noise pollution,3,0.0073453171516679435,0.6248637027906561
Average evening sound level of noise pollution,4,0.02590121485408556,0.0635441307129652
Average evening sound level of noise pollution,5,0.04652205940138957,0.01796405014168865
Average night-time sound level of noise pollution,1,-0.019052134722817502,0.1319316264245244
Average night-time sound level of noise pollution,2,-0.030560063359238537,0.02397235822843134
Average night-time sound level of noise pollution,3,0.00735695986528105,0.6243151864749411
Average night-time sound level of noise pollution,4,0.025899151595921075,0.06356530015698177
Average night-time sound level of noise pollution,5,0.04653796508312269,0.017924854937307392
Average 16-hour sound level of noise pollution,1,-0.019040182053088515,0.13217420426612844
Average 16-hour sound level of noise pollution,2,-0.030559436254079853,0.023975235495763074
Average 16-hour sound level of noise pollution,3,0.007306687801378129,0.6266854972325405
Average 16-hour sound level of noise pollution,4,0.025925082314436135,0.06330057233506987
Average 16-hour sound level of noise pollution,5,0.04654243785110317,0.01791382600573571
Average 24-hour sound level of noise pollution,1,-0.019023685739305476,0.13250957971706953
Average 24-hour sound level of noise pollution,2,-0.030568289847540262,0.023934429156451387
Average 24-hour sound level of noise pollution,3,0.0073004901443721355,0.6269779546628809
Average 24-hour sound level of noise pollution,4,0.02591928157046574,0.06335968263080748
Average 24-hour sound level of noise pollution,5,0.046543364394611396,0.017911533803166943
"Greenspace percentage, buffer 1000m",1,0.07685253628161766,1.075371251605479e-09
"Greenspace percentage, buffer 1000m",2,-0.005181585878620001,0.7010052122619774
"Greenspace percentage, buffer 1000m",3,0.02244300442366143,0.13394984313802075
"Greenspace percentage, buffer 1000m",4,-0.04631073895788822,0.0008749025675939153
"Greenspace percentage, buffer 1000m",5,-0.12140531070339432,5.780251668807266e-10
"Domestic garden percentage, buffer 1000m",1,-0.023633578548272,0.06168972333571299
"Domestic garden percentage, buffer 1000m",2,0.018214452504264383,0.1785255335963395
"Domestic garden percentage, buffer 1000m",3,-0.0129919559407434,0.38719078434905296
"Domestic garden percentage, buffer 1000m",4,0.00639619584256377,0.6468887450170674
