Biomarker,Subtype,Age,Coefficient,p,t
PLAT,3,64.0,0.1885253064370934,4.95058859599437e-06,4.578895482319003
LGALS4,3,49.0,0.21022668779067044,5.091612796769088e-06,4.576087621686783
RNASE1,3,64.0,0.17367313052785152,5.054109152139245e-06,4.574520462677157
CD74,3,64.0,0.18260984751292808,5.355414075625539e-06,4.56225875367805
ADAMTS16,3,49.0,0.2156203077220137,5.8143586093859724e-06,4.5478722452026625
REG4,3,49.0,0.21187209295163992,5.816315892570921e-06,4.5478005012917055
MYOC,3,49.0,0.2058269627845189,6.082268176430419e-06,4.538260937596409
ATRN,3,49.0,0.23402293010512198,6.109964097828237e-06,4.537290580824726
VCAM1,3,64.0,0.17314469248451234,6.162009278420617e-06,4.532427342703588
NT5C1A,3,49.0,0.2108518360801268,6.762167192951881e-06,4.515579766569003
FGFR4,3,49.0,0.19029762969884195,6.84687714705715e-06,4.51290840229813
RNASE6,3,64.0,0.16488737234677314,6.819385791179583e-06,4.510762868181859
CCN3,3,49.0,0.16495631789757326,7.516740128033331e-06,4.492834170853254
MERTK,3,64.0,0.20032256147862645,7.604678637735163e-06,4.487363136182912
PTPRB,3,49.0,0.22106456352964993,7.765712931146362e-06,4.48580716048529
YAP1,3,49.0,0.19757219422738836,7.835103695611378e-06,4.4838870860841125
DCN,3,49.0,0.18953809501851338,7.847432416289014e-06,4.483547647989117
CD109,3,49.0,0.2143715793032226,7.855384455070405e-06,4.483328980647153
SORT1,3,49.0,0.21224907365007498,8.04469225740508e-06,4.4781849293530165
SCARA5,3,64.0,0.15819086587403122,8.590508806975887e-06,4.461063161889252
VSIG2,3,64.0,0.18633645988600558,8.766981146192399e-06,4.456662184185013
TFPI2,3,49.0,0.18645303622586265,8.930460179892313e-06,4.4555581662971155
FGF6,3,64.0,0.18662074976153198,9.092099190128113e-06,4.448771528039053
CCL3,3,49.0,0.26579231146854165,9.345649697570292e-06,4.44568231052365
SPOCK1,3,49.0,0.22225559022260605,9.880740481284335e-06,4.433555673363401
CCL15,3,64.0,0.1829592184255535,1.0153631475926163e-05,4.424765301844302
A1BG,3,49.0,0.23977096273598542,1.0823533656276131e-05,4.413641660033773
TNFRSF1A,3,64.0,0.14524973066372773,1.1589680099669256e-05,4.3958522190699
L1CAM,3,49.0,0.20052107549830916,1.1933483131586586e-05,4.392220061698369
CD80,3,49.0,0.21157171521391513,1.2136537368461913e-05,4.388508352949752
MYOM3,3,49.0,0.2116149430110934,1.2288511792826948e-05,4.385768963983403
TNFSF10,3,49.0,0.2355760808254557,1.2334040307128667e-05,4.384954595326794
FABP3,3,49.0,0.19912765825859208,1.2876235277564233e-05,4.375471053139384
CCL11,3,64.0,0.1865201577776455,1.2972689581751551e-05,4.371077222100865
IL17D,3,64.0,0.18504476269978193,1.3245789271881294e-05,4.366484857590838
CCL27,3,64.0,0.17474176213909234,1.3297662696323124e-05,4.3656227959414675
CD248,3,49.0,0.2021816197236654,1.3689955325804223e-05,4.361930774028876
ACY3,3,49.0,0.21782652748959172,1.401818934418965e-05,4.356685396645035
CXCL16,3,49.0,0.19484297054966157,1.4165931296225912e-05,4.354362552025279
SUSD5,3,49.0,0.20871847091152196,1.4477656335389002e-05,4.3495364509519465
LECT2,3,49.0,0.20636812669318308,1.4491032281438525e-05,4.349331592101984
EFNA4,3,64.0,0.14794305131712382,1.6009920661371042e-05,4.324505653162856
ADA2,3,64.0,0.16981828200768265,1.6067320494355058e-05,4.323709450010405
GGT1,3,49.0,0.2001282524534928,1.748111507685646e-05,4.307537372810419
OCLN,3,49.0,0.20316434126049684,1.7772716434912716e-05,4.303834258682408
LRFN2,3,49.0,0.17917267503021345,1.861434240417893e-05,4.293462397521795
LRP1,3,64.0,0.1864939156872842,1.8628628611018536e-05,4.290687076318646
NRP2,3,49.0,0.20167322412688538,1.9782181006584458e-05,4.279787764553879
GFRA1,3,49.0,0.17465220846391277,2.0444858109342714e-05,4.272366687549376
ALCAM,3,64.0,0.15285171049606663,2.174456558927342e-05,4.255912086733955
SMOC1,3,64.0,0.17538275346955912,2.2269867298747932e-05,4.250522299724446
SUSD2,3,49.0,0.21932134964833752,2.2877290638381066e-05,4.24696172282611
ERBB2,3,49.0,0.2031573368411851,2.541986722316079e-05,4.223021406515186
FAS,3,64.0,0.1674308250035494,2.5298950367344443e-05,4.2216233073969365
DLK1,3,49.0,0.19109425050898732,2.6366745750374303e-05,4.214685063400555
SEPTIN8,3,49.0,0.21189809724569375,2.670021417747087e-05,4.211816927441443
MRC1,3,49.0,0.19149972470877996,2.6924188259726396e-05,4.209909622224053
IGSF9,3,49.0,0.21055506981519007,2.7063232863081087e-05,4.208733137535073
NADK,3,49.0,0.19188899545114177,2.7652966292993157e-05,4.203806389207499
CCN1,3,49.0,0.21157634207748927,2.7811329179941723e-05,4.202500426066352
SCGB1A1,3,64.0,0.18292485545610243,2.7708053277455008e-05,4.20090248399655
ADGRE5,3,64.0,0.15635692935723056,2.7731886928033257e-05,4.200706185024401
CDH15,3,49.0,0.1819589698503416,2.980048189834922e-05,4.186673137811869
ACY1,3,49.0,0.20035090338148348,3.103180352643161e-05,4.177372100672094
ADH4,3,49.0,0.1982913009197286,3.168013373364295e-05,4.172614970189617
LMNB2,3,49.0,0.20049647161244238,3.2251488488598516e-05,4.168498781381646
GCHFR,3,49.0,0.19831524345760806,3.2694239641066745e-05,4.165356499404952
EDN1,3,49.0,0.20244527934396228,3.3197581001503724e-05,4.161832974032505
NFASC,3,64.0,0.1668479313447237,3.290253940182643e-05,4.161509028803549
LEFTY2,3,64.0,0.1680199221289302,3.318413350619236e-05,4.159546587220406
SSC5D,3,49.0,0.196193026350868,3.374726904533635e-05,4.158042570050921
VSIG2,3,49.0,0.1807819901123303,3.4079743796609485e-05,4.1557783599519045
TINAGL1,3,49.0,0.19824430101325693,3.433905295755661e-05,4.154026949227441
GFRA1,3,64.0,0.14979618442981701,3.593216823719227e-05,4.141185334915546
MXRA8,3,49.0,0.19158174662660477,3.671337866702558e-05,4.138550674105249
FGFR2,3,49.0,0.20517305311004763,3.853494580942273e-05,4.127309286308617
