biom,subtype,t_statistic,p_value,corrected_p_value,significant
SHC1,3,-2.8355566055769117,0.00457758410046184,1.0,False
SHC1,4,-0.8700461758736051,0.3842819799802013,1.0,False
SHC1,5,1.8533805502963048,0.0638374307595439,1.0,False
SHD,1,-2.658263962152833,0.007858509479320291,1.0,False
SHD,2,1.8012050450322898,0.07168038687193813,1.0,False
SHD,3,-4.616115068032141,3.925734673131216e-06,0.05737461224781272,False
SHD,4,2.5579389019220917,0.010534222033314125,1.0,False
SHD,5,3.9482261522684534,7.890810635284259e-05,1.0,False
SHH,1,1.0741701030226134,0.28275490096866274,1.0,False
SHH,2,3.889011028926427,0.00010086568642087956,1.0,False
SHH,3,-5.435703516225108,5.499634984250075e-08,0.0008037716529481485,True
SHH,4,-1.1168748424971373,0.26405659284267957,1.0,False
SHH,5,1.3646431280249518,0.1723752552512229,1.0,False
SHISA5,1,-37.56965911817799,4.808015395905414e-302,7.026914501115763e-298,True
SHISA5,2,26.084237086887335,2.2937172501321008e-148,3.352267761068065e-144,True
SHISA5,3,-50.51561988730727,0.0,0.0,True
SHISA5,4,16.472169487359487,1.0606187617458656e-60,1.5500943202915824e-56,True
SHISA5,5,63.86677364638598,0.0,0.0,True
SHMT1,1,-26.7356372343299,1.1089470438620463e-155,1.6207261046043805e-151,True
SHMT1,2,0.565721564660157,0.5715872124168824,1.0,False
