protein,subtype,beta,pvalue,qvalue,p_corrected
TCP11,5,0.0009685156993629781,0.6294322274693047,0.6914056373140841,1.0
TCTN3,1,0.00359439036557234,0.0033080168547911,0.00573167354271155,1.0
TCTN3,2,-0.0009464629892568347,0.49479793689399953,0.595673134077908,1.0
TCTN3,3,-0.002317461482343946,0.16422352938971158,0.21829257681042608,1.0
TCTN3,4,-0.011031993470262956,2.0597648628693536e-12,4.833223297879553e-12,6.0206926941671205e-09
TCTN3,5,-0.00606516580064124,0.014349451458949348,0.02929011635091407,1.0
TDGF1,1,-0.0002463753999551253,0.8482129036390804,0.8754683323930198,1.0
TDGF1,2,0.0026772984441268614,0.07211477501469538,0.11882270990301838,1.0
TDGF1,3,0.003047482754906243,0.05119656214667695,0.07773898761285025,1.0
TDGF1,4,0.004042273779918349,0.008183787738458629,0.01191295396390168,1.0
TDGF1,5,0.004578072703502905,0.05487783478517257,0.09218845464198819,1.0
TDO2,1,-0.0009965063106552774,0.4302891768878716,0.49517136379655463,1.0
TDO2,2,0.0003610381783715739,0.7998402608481051,0.8510859419217368,1.0
TDO2,3,-0.00010696502370011044,0.9471786500726699,0.9582340198453856,1.0
TDO2,4,-0.007040247912463391,1.4579469346595747e-05,2.527626862402098e-05,0.042615788900099365
TDO2,5,-0.004170132271361392,0.0712032994144422,0.11391748450378464,1.0
TDP1,1,0.003107130842340088,0.01346758200336474,0.021371195546055988,1.0
TDP1,2,0.0026370857430455443,0.07360387409223751,0.12100344430349283,1.0
TDP1,3,0.00619113090724191,8.224431223875955e-05,0.0002015089058456783,0.24040012467389418
TDP1,4,-0.001299462050616785,0.4077829691096728,0.46469770709846925,1.0
TDP1,5,-0.004553863426348232,0.051444768788384124,0.08732465689224553,1.0
TDRKH,1,0.003795448974878415,0.0012304648608655983,0.002263466827130361,1.0
TDRKH,2,-0.000512255551958734,0.6987790181963034,0.7763325998433276,1.0
TDRKH,3,0.005671232257750094,0.000763337243085834,0.00161683678372456,1.0
TDRKH,4,-0.01441311957913163,1.965918601354013e-18,5.8457579570272434e-18,5.74638007175778e-15
TDRKH,5,-0.003396428905256622,0.14667913482871167,0.2074228887780959,1.0
TEF,1,0.0014374080121611406,0.27077849219517774,0.32910001359106217,1.0
TEF,2,-0.0009669211490643559,0.4981997315063772,0.599274821067136,1.0
TEF,3,0.002734246922541294,0.10796941569080765,0.15129175554373478,1.0
TEF,4,-0.004097049815672042,0.007136223594539567,0.010487270772669257,1.0
TEF,5,-0.0013927491873091163,0.5367382126262696,0.6088031802509065,1.0
TEK,1,-0.002686038835814593,0.022022778190926674,0.033614924622495386,1.0
TEK,2,-0.0023770052798718078,0.07657932563285802,0.12519092216154584,1.0
TEK,3,-0.0010762055367171317,0.4944500505837296,0.5656663396697619,1.0
TEK,4,-0.00508430302605482,0.00036880715016506026,0.0005923204944683907,1.0
TEK,5,-0.0031766088390911065,0.2535981195968496,0.3265494729434323,1.0
TERF1,1,-0.0005193087278703032,0.6851946965154263,0.7314916354691713,1.0
TERF1,2,-0.0019251168177248433,0.17764554080337758,0.2569311804890018,1.0
TERF1,3,-0.0010079345377365168,0.5390012612597466,0.6094780219196283,1.0
TERF1,4,0.0014717690780660384,0.35752718865866207,0.41371812052623486,1.0
TERF1,5,-0.0036482253381296403,0.10450435527651282,0.1556912489669964,1.0
TET2,1,0.0012518437138803779,0.3529757376740187,0.4163632289028073,1.0
TET2,2,0.001456054865179876,0.33099086784020315,0.4307652159992452,1.0
TET2,3,0.0007729184952153232,0.6331197714064427,0.6984539512386267,1.0
TET2,4,0.0011983399137608776,0.41659296426671366,0.473033241760103,1.0
TET2,5,-0.0023893696300469154,0.273236512188745,0.3483080353805938,1.0
TEX101,1,0.003454764085838682,0.008989566121233744,0.01461429464536498,1.0
TEX101,2,0.003508122344907775,0.013093526571231171,0.025413265715610034,1.0
TEX101,3,0.003135870805618917,0.05154476013272234,0.07814592005598932,1.0
TEX101,4,0.0058712845309508675,0.00015130176648869931,0.00024790082031752697,0.4422550634464681
TEX101,5,0.00830051567229323,0.0004209016496215791,0.0013005238074459574,1.0
TEX33,1,-0.002503196070434599,0.05208146879796609,0.07418817412107938,1.0
TEX33,2,0.0006489620499066683,0.6543521277713189,0.7379132984087828,1.0
TEX33,3,-0.0015545766064251512,0.3557063116132434,0.4276962356419212,1.0
TEX33,4,-0.001961911673207955,0.2012910194576378,0.24578504661316006,1.0
TEX33,5,-0.006157822824025493,0.007087214931697583,0.015972189086624546,1.0
TF,1,-0.008665310308601962,1.8697711506362296e-11,5.6518521957701126e-11,5.4653410733096995e-08
TF,2,-0.012801064501188553,2.3847340054236207e-19,1.0925670059331103e-18,6.970577497853244e-16
TF,3,-0.013289010979940487,3.3691077265895942e-15,1.585813508022767e-14,9.847901884821384e-12
TF,4,-0.014616699777219758,6.363315608980578e-22,2.2545420030363912e-21,1.859997152505023e-18
TF,5,-0.01375013485938001,3.5273007657059304e-09,1.78688043988881e-08,1.0310300138158435e-05
TFAP2A,1,-0.0006291371756656364,0.6250087536213207,0.6806634079117438,1.0
TFAP2A,2,-0.0012210140532142029,0.40230088161774025,0.5025322551148097,1.0
TFAP2A,3,-0.0016193613047206638,0.3237719168459354,0.39531550248148256,1.0
TFAP2A,4,0.0005432158925112322,0.7260822904319967,0.7664638984950257,1.0
TFAP2A,5,-0.0005723017242721289,0.8056365637239549,0.844344093139161,1.0
TFF1,1,0.022353066715872935,7.755849645971416e-83,1.0258076251210157e-81,2.267034851517445e-79
TFF1,2,0.028199033747092647,1.7881054410170611e-96,3.1869708561541884e-95,5.226632204092869e-93
TFF1,3,0.026352133307306683,3.274974807539723e-68,7.420737490262489e-67,9.572751362438611e-65
TFF1,4,0.030518840859890272,5.236285416955521e-94,1.1595198692243172e-92,1.5305662273760987e-90
TFF1,5,0.03423394654896683,1.316007311496902e-40,2.767402425543485e-39,3.846689371505444e-37
TFF2,1,0.02433031815401717,3.283173080710177e-106,5.960692493736552e-105,9.596714914915848e-103
