"Description",".sign","p.adjust","GeneRatio","subtype"
"cell-substrate adhesion","activated",0.0288946456863884,0.41726618705036,2
"positive regulation of cell differentiation","activated",0.0291096327746288,0.383720930232558,2
"outflow tract morphogenesis","activated",0.0306131213018119,0.65,2
"negative regulation of muscle cell differentiation","activated",0.0311259790943339,0.25,2
"negative regulation of cell communication","activated",0.0315484595984025,0.32425068119891,2
"negative regulation of signaling","activated",0.0315484595984025,0.322493224932249,2
"lymphocyte activation","activated",0.0357310000803281,0.429577464788732,2
"cell adhesion mediated by integrin","activated",0.0362891246384562,0.439024390243902,2
"regulation of signal transduction","activated",0.0368399536222329,0.306493506493506,2
"skeletal muscle cell differentiation","activated",0.038618176234958,0.5,2
"regulation of cell-cell adhesion","activated",0.0390870577114592,0.464285714285714,2
"multivesicular body organization","suppressed",0.0391776436771681,0.888888888888889,2
"multivesicular body assembly","suppressed",0.0391776436771681,0.888888888888889,2
"late endosome to vacuole transport","suppressed",0.0391776436771681,0.888888888888889,2
"negative regulation of signal transduction","activated",0.0391776436771681,0.317365269461078,2
"regulation of response to stimulus","activated",0.0391776436771681,0.306179775280899,2
"connective tissue development","activated",0.0402624666484882,0.578947368421053,2
"animal organ morphogenesis","activated",0.0407618353100989,0.398148148148148,2
"axonal fasciculation","activated",0.0408312529105754,0.8,2
"neuron projection fasciculation","activated",0.0408312529105754,0.8,2
"protein autophosphorylation","activated",0.0422236257633691,0.354166666666667,2
"cell growth","activated",0.0424434650977057,0.347517730496454,2
"regulation of lymphocyte activation","activated",0.0424434650977057,0.461139896373057,2
"apoptotic DNA fragmentation","suppressed",0.0426047859070383,0.8,2
"regulation of apoptotic DNA fragmentation","suppressed",0.0426047859070383,0.8,2
"regulation of DNA catabolic process","suppressed",0.0426047859070383,0.8,2
"regulation of lymphocyte proliferation","activated",0.0426047859070383,0.491525423728814,2
"embryonic heart tube morphogenesis","activated",0.0428559538758956,0.583333333333333,2
"forebrain development","activated",0.0430724868506756,0.341176470588235,2
"mononuclear cell proliferation","activated",0.0435212691545984,0.473684210526316,2
"regulation of nervous system development","activated",0.0439649227542328,0.405797101449275,2
"regulation of axonogenesis","activated",0.045780361697456,0.392156862745098,2
"sensory organ development","activated",0.0462062398597196,0.412280701754386,2
"developmental cell growth","activated",0.0466273330585349,0.366666666666667,2
"negative regulation of neuron projection regeneration","activated",0.0481997571246939,0.888888888888889,2
"regulation of vascular endothelial growth factor signaling pathway","activated",0.0481997571246939,0.461538461538462,2
"negative regulation of axonogenesis","activated",0.0481997571246939,0.526315789473684,2
"positive regulation of cell development","activated",0.0482654335305227,0.386666666666667,2
"heart morphogenesis","activated",0.0493258517777725,0.392857142857143,2
"recognition of apoptotic cell","activated",0.0495417751990848,0.4,2
"regeneration","activated",0.0495417751990848,0.5,2
"negative regulation of extracellular matrix organization","activated",0.0497105096585241,0.875,2
"cell adhesion","suppressed",2.0221455936813e-08,0.517887563884157,3
"cell-cell adhesion","suppressed",2.0221455936813e-08,0.526595744680851,3
"cell migration","suppressed",2.0221455936813e-08,0.506958250497018,3
"blood vessel development","suppressed",2.0221455936813e-08,0.43609022556391,3
"cell motility","suppressed",2.0221455936813e-08,0.497131931166348,3
"regulation of cell adhesion","suppressed",2.0221455936813e-08,0.480392156862745,3
"tube morphogenesis","suppressed",2.0221455936813e-08,0.435215946843854,3
"regulation of cell migration","suppressed",2.0221455936813e-08,0.516949152542373,3
"regulation of cell motility","suppressed",2.0221455936813e-08,0.509641873278237,3
"negative regulation of multicellular organismal process","suppressed",2.0221455936813e-08,0.416445623342175,3
"regulation of locomotion","suppressed",2.0221455936813e-08,0.502645502645503,3
"cell surface receptor signaling pathway","suppressed",2.0221455936813e-08,0.443519619500595,3
"multicellular organismal process","suppressed",2.0221455936813e-08,0.387690355329949,3
"tube development","suppressed",2.0221455936813e-08,0.477272727272727,3
"locomotion","suppressed",2.0221455936813e-08,0.492990654205608,3
"regulation of multicellular organismal development","suppressed",2.0221455936813e-08,0.404705882352941,3
"system development","suppressed",2.0221455936813e-08,0.363539445628998,3
"multicellular organism development","suppressed",2.0221455936813e-08,0.376172607879925,3
"anatomical structure development","suppressed",2.0221455936813e-08,0.398278560250391,3
"developmental process","suppressed",2.0221455936813e-08,0.350523168908819,3
"anatomical structure morphogenesis","suppressed",2.0221455936813e-08,0.437037037037037,3
"regulation of developmental process","suppressed",2.0221455936813e-08,0.366559485530547,3
"cell communication","suppressed",2.0221455936813e-08,0.379286694101509,3
"regulation of multicellular organismal process","suppressed",2.0221455936813e-08,0.376456876456876,3
"signaling","suppressed",2.0221455936813e-08,0.377838953888507,3
"signal transduction","suppressed",2.0221455936813e-08,0.382978723404255,3
"cell development","suppressed",2.0221455936813e-08,0.384279475982533,3
"cell differentiation","suppressed",2.0221455936813e-08,0.362860192102455,3
"cellular developmental process","suppressed",2.0221455936813e-08,0.362860192102455,3
"regulation of biological process","suppressed",2.0221455936813e-08,0.332692307692308,3
"regulation of cellular process","suppressed",2.0221455936813e-08,0.335162094763092,3
"response to stimulus","suppressed",2.0221455936813e-08,0.356990394877268,3
"cellular response to stimulus","suppressed",2.0221455936813e-08,0.36381074168798,3
"vasculature development","suppressed",6.85532442953213e-08,0.432727272727273,3
"enzyme-linked receptor protein signaling pathway","suppressed",7.40352418717494e-08,0.39209726443769,3
"blood vessel morphogenesis","suppressed",7.4879426829305e-08,0.432,3
"positive regulation of multicellular organismal process","suppressed",8.98312513789491e-08,0.4,3
"anatomical structure formation involved in morphogenesis","suppressed",1.06751031321865e-07,0.472527472527473,3
"angiogenesis","suppressed",1.7129074255776e-07,0.442982456140351,3
"animal organ development","suppressed",2.40648716855208e-07,0.381240544629349,3
"positive regulation of developmental process","suppressed",3.22322338011415e-07,0.390745501285347,3
"regulation of cell differentiation","suppressed",6.52640034385687e-07,0.388613861386139,3
"circulatory system development","suppressed",6.67111190563679e-07,0.463556851311953,3
"positive regulation of locomotion","suppressed",7.96824846646693e-07,0.542016806722689,3
"biological regulation","suppressed",8.54667544016346e-07,0.326300984528833,3
"cell-cell adhesion via plasma-membrane adhesion molecules","suppressed",8.73041604334077e-07,0.715686274509804,3
"positive regulation of cell motility","suppressed",1.16555438577135e-06,0.545454545454545,3
"immune system process","suppressed",1.16555438577135e-06,0.445913461538462,3
"positive regulation of cell migration","suppressed",1.38580516056906e-06,0.548245614035088,3
"tissue development","suppressed",1.3922543748783e-06,0.441758241758242,3
"extracellular matrix organization","suppressed",2.05683726102661e-06,0.620967741935484,3
"extracellular structure organization","suppressed",2.05683726102661e-06,0.620967741935484,3
"external encapsulating structure organization","suppressed",2.05683726102661e-06,0.620967741935484,3
"axonogenesis","suppressed",2.0756811226091e-06,0.444444444444444,3
"nervous system development","suppressed",2.0756811226091e-06,0.348754448398576,3
"axon development","suppressed",2.13058130426396e-06,0.429487179487179,3
"cellular response to growth factor stimulus","suppressed",2.21367276012762e-06,0.424124513618677,3
"response to growth factor","suppressed",2.7378739024312e-06,0.420454545454545,3
"cell population proliferation","suppressed",4.12294612134666e-06,0.40567612687813,3
"regulation of cell population proliferation","suppressed",5.14684343539752e-06,0.420664206642066,3
"synapse organization","suppressed",6.53701861163063e-06,0.487012987012987,3
"cell junction organization","suppressed",6.7671354235413e-06,0.431718061674009,3
"neurogenesis","suppressed",7.10002296680166e-06,0.35952380952381,3
"neuron projection development","suppressed",1.14338228360453e-05,0.345588235294118,3
"response to external stimulus","suppressed",1.89774470675488e-05,0.442105263157895,3
"positive regulation of cell adhesion","suppressed",2.01681928044711e-05,0.487437185929648,3
"axon guidance","suppressed",2.41005598103871e-05,0.51219512195122,3
"neuron projection guidance","suppressed",2.41005598103871e-05,0.51219512195122,3
"positive regulation of cell population proliferation","suppressed",2.69992397972797e-05,0.428152492668622,3
"regulation of cell-cell adhesion","suppressed",3.06155014354847e-05,0.489795918367347,3
"insulin-like growth factor receptor signaling pathway","suppressed",3.13679785826011e-05,0.653061224489796,3
"collagen-activated signaling pathway","suppressed",4.03143672353574e-05,0.833333333333333,3
"generation of neurons","suppressed",4.35788204724735e-05,0.385915492957746,3
"response to BMP","suppressed",5.5929699352791e-05,0.566037735849057,3
"cellular response to BMP stimulus","suppressed",5.5929699352791e-05,0.566037735849057,3
"leukocyte cell-cell adhesion","suppressed",5.66754725766062e-05,0.48876404494382,3
"regeneration","suppressed",5.95955487464757e-05,0.538461538461538,3
"macrophage colony-stimulating factor signaling pathway","suppressed",6.03958743034458e-05,0.818181818181818,3
"BMP signaling pathway","suppressed",6.08797351076126e-05,0.583333333333333,3
"positive regulation of cell-cell adhesion","suppressed",6.08797351076126e-05,0.538461538461538,3
"cellular response to vascular endothelial growth factor stimulus","suppressed",6.21414168911458e-05,0.610169491525424,3
"plasma membrane bounded cell projection organization","suppressed",6.21414168911458e-05,0.361823361823362,3
"regulation of cell development","suppressed",6.61412871149088e-05,0.404858299595142,3
